순위,지역,시도,시군구,종합점수,점수_산업성,점수_성장성,점수_수요성,유형,LQ,화물차,영업용화물,승용차,차량_총,화물차비율,영업용비중,화물차_증가율,인구_증가율,디커플링,가속도,추세지속성,영업용전환율,안정성,인구수,배후인구,면적,인구밀도,인구1천명당화물차
237,부산광역시 서구,부산광역시,서구,32.5,18.9,48.4,30.2,정체,0.691,4075,874,29335,38949,10.46,21.45,0.23,-1.45,1.68,0.91,0.68,0.11,0.88,100548,510957,453.0,222.0,40.5
239,경상남도 함안군,경상남도,함안군,32.4,40.5,35.9,20.8,정체,0.891,2856,950,15060,21182,13.48,33.26,1.28,-2.13,3.41,-2.11,0.37,0.4,0.66,56597,164637,110.6,511.7,50.5
240,충청남도 부여군,충청남도,부여군,31.9,26.4,41.9,27.3,정체,0.416,1555,797,18785,24718,6.29,51.25,-1.26,-1.88,0.62,4.87,0.28,0.23,0.82,57573,383925,99.0,581.5,27.0
241,강원특별자치도 속초시,강원특별자치도,속초시,31.1,24.9,39.7,28.6,정체,0.43,2144,936,20375,32986,6.5,43.66,0.92,-1.4,2.32,1.92,0.22,0.55,0.53,78645,405796,263.0,299.0,27.3
242,대구광역시 군위군,대구광역시,군위군,30.8,21.0,39.4,32.0,정체,0.588,823,240,6326,9254,8.89,29.16,-5.22,0.74,-5.96,-3.37,0.68,0.49,0.92,22504,147798,49.5,454.6,36.6
243,경상북도 청송군,경상북도,청송군,27.7,16.7,36.6,29.9,정체,0.73,1129,101,7599,10217,11.05,8.95,-3.25,3.73,-6.98,3.11,0.46,0.2,0.86,24400,153803,290.3,84.1,46.3
244,강원특별자치도 양양군,강원특별자치도,양양군,27.5,30.6,29.5,22.4,정체,0.834,1275,354,6940,10102,12.62,27.76,-2.3,-0.06,-2.24,1.55,0.34,0.55,0.28,27252,141804,494.4,55.1,46.8
245,전북특별자치도 순창군,전북특별자치도,순창군,27.0,6.1,44.8,30.0,정체,0.467,969,94,8758,13715,7.07,9.7,1.82,3.3,-1.48,-4.83,0.77,0.35,0.84,27582,175605,623.8,44.2,35.1
246,강원특별자치도 인제군,강원특별자치도,인제군,25.2,10.6,42.5,22.5,정체,0.422,1036,257,11524,16236,6.38,24.81,-0.63,-0.58,-0.05,-3.24,0.8,0.24,0.85,30714,264876,631.5,48.6,33.7
247,강원특별자치도 태백시,강원특별자치도,태백시,23.4,6.5,52.0,11.6,정체,0.444,1248,182,13906,18561,6.72,14.58,-2.49,-1.94,-0.55,3.33,0.67,0.61,0.69,36664,267112,1830.0,20.0,34.0
248,충청북도 단양군,충청북도,단양군,22.9,27.2,29.3,12.3,정체,0.51,1210,486,10270,15698,7.71,40.17,1.87,-1.81,3.68,-1.53,0.47,0.0,0.52,26491,224295,220.2,120.3,45.7
249,경상북도 봉화군,경상북도,봉화군,20.0,17.6,30.6,11.9,정체,0.541,1210,318,11157,14782,8.19,26.28,-0.59,-1.29,0.7,2.17,0.0,0.42,0.51,27940,47051,181.4,154.0,43.3
